Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,68.720001,69.260002,68.190002,69.150002,27809100,56.700952
2010-01-05,69.190002,69.449997,68.800003,69.419998,30174700,56.922342
2010-01-06,69.449997,70.599998,69.339996,70.019997,35044700,57.414323
2010-01-07,69.900002,70.059998,69.419998,69.800003,27192100,57.233934
2010-01-08,69.690002,69.75,69.220001,69.519997,24891800,57.004337
2010-01-11,69.940002,70.519997,69.650002,70.300003,30685000,57.643919
2010-01-12,69.720001,69.989998,69.519997,69.949997,31496700,57.356925
2010-01-13,69.959999,70.040001,69.260002,69.669998,24884400,57.127334
2010-01-14,69.540001,69.739998,69.349998,69.68,18630800,57.135536
2010-01-15,69.650002,69.690002,68.650002,69.110001,29411900,56.668153
2010-01-19,68.739998,69.349998,68.419998,69.269997,26081900,56.799345
2010-01-20,68.559998,68.660004,67.93,68.029999,34629500,55.782583
2010-01-21,68.120003,68.150002,66.5,66.699997,39114000,54.692021
2010-01-22,66.519997,67.139999,66.0,66.099998,39085500,54.20004
2010-01-25,66.550003,66.760002,65.690002,65.849998,29305100,53.995048
2010-01-26,65.639999,66.739998,65.5,65.919998,34083300,54.052445
2010-01-27,65.660004,66.059998,65.0,65.540001,35723500,53.740859
2010-01-28,65.849998,65.849998,64.57,64.959999,37349800,53.265274
2010-01-29,65.150002,65.82,64.019997,64.43,40880500,52.830691
2010-02-01,65.769997,66.410004,65.349998,66.18,37703000,54.265639
2010-02-02,66.730003,67.120003,66.470001,66.959999,34057900,54.905215
2010-02-03,66.879997,67.230003,66.559998,66.599998,24024700,54.610025
2010-02-04,66.269997,66.349998,64.68,64.720001,33858200,53.068483
2010-02-05,64.699997,64.900002,63.560001,64.800003,42297500,53.134082
2010-02-08,64.910004,65.489998,64.339996,64.349998,30519400,53.109322
2010-02-09,65.110001,65.709999,64.559998,65.199997,36243300,53.810842
2010-02-10,65.080002,65.220001,64.160004,64.849998,21699100,53.521982
2010-02-11,64.690002,65.480003,64.410004,65.239998,23555200,53.843856
2010-02-12,64.620003,65.139999,64.279999,64.800003,30636200,53.48072
2010-02-16,65.440002,66.379997,65.080002,66.279999,30514900,54.702189
2010-02-17,66.339996,66.449997,65.57,65.760002,21821800,54.273026
2010-02-18,65.800003,66.089996,65.349998,65.959999,22536700,54.438087
2010-02-19,65.589996,66.239998,65.43,65.870003,24264600,54.363811
2010-02-22,66.099998,66.120003,65.25,65.400002,20469700,53.97591
2010-02-23,65.260002,65.559998,64.150002,64.940002,33372900,53.596264
2010-02-24,65.010002,65.870003,64.769997,65.550003,21469600,54.099709
2010-02-25,64.610001,65.169998,64.370003,65.139999,25668800,53.761325
2010-02-26,65.260002,65.400002,64.919998,65.0,20129700,53.645781
2010-03-01,65.360001,65.540001,65.089996,65.400002,18798600,53.97591
2010-03-02,65.660004,65.790001,65.150002,65.489998,24823900,54.050186
2010-03-03,65.769997,65.970001,65.379997,65.43,22279800,54.000669
2010-03-04,65.349998,65.629997,65.080002,65.400002,21961100,53.97591
2010-03-05,65.959999,66.519997,65.779999,66.470001,26837900,54.859002
2010-03-08,66.769997,66.790001,66.230003,66.480003,20297200,54.867257
2010-03-09,66.32,67.190002,66.220001,66.779999,29003100,55.114849
2010-03-10,67.160004,67.419998,66.779999,67.220001,24810300,55.477992
2010-03-11,67.389999,67.559998,66.980003,67.220001,19357400,55.477992
2010-03-12,67.580002,67.580002,66.5,66.800003,23361800,55.131359
2010-03-15,66.669998,66.690002,65.900002,66.300003,22070000,54.718699
2010-03-16,66.550003,66.68,66.0,66.57,35103700,54.941533
2010-03-17,66.910004,67.790001,66.800003,67.360001,38770000,55.593536
2010-03-18,67.5,67.739998,67.010002,67.389999,25925500,55.618295
2010-03-19,67.040001,67.889999,66.43,67.040001,45564200,55.329434
2010-03-22,66.489998,67.199997,66.32,66.970001,21390600,55.271662
2010-03-23,66.940002,66.980003,66.449997,66.949997,24754700,55.255152
2010-03-24,66.57,66.860001,66.230003,66.5,19748800,54.883761
2010-03-25,66.809998,66.919998,66.239998,66.300003,21095600,54.718699
2010-03-26,66.440002,66.879997,66.169998,66.540001,30553400,54.916774
2010-03-29,66.660004,67.480003,66.589996,67.300003,26122200,55.544019
2010-03-30,67.190002,67.300003,66.790001,67.050003,17745900,55.337689
2010-03-31,66.940002,67.190002,66.599998,66.980003,22352500,55.279917
2010-04-01,67.269997,67.800003,67.190002,67.610001,19614700,55.799866
2010-04-05,67.839996,68.360001,67.720001,68.190002,20901100,56.278553
2010-04-06,67.989998,68.349998,67.800003,67.900002,19776800,56.039209
2010-04-07,67.830002,67.849998,66.970001,67.339996,24531500,55.577026
2010-04-08,67.010002,68.220001,66.849998,67.860001,24060800,56.006196
2010-04-09,68.110001,68.980003,68.07,68.760002,21099600,56.748985
2010-04-12,68.800003,69.050003,68.580002,68.709999,18170300,56.707716
2010-04-13,68.470001,68.760002,68.07,68.660004,19177100,56.666454
2010-04-14,68.720001,68.82,68.360001,68.610001,18777800,56.625186
2010-04-15,68.5,68.720001,68.150002,68.260002,16712900,56.336325
2010-04-16,68.120003,68.699997,67.709999,67.93,33855100,56.063968
2010-04-19,67.75,68.440002,67.57,68.230003,25686000,56.311566
2010-04-20,68.620003,69.220001,68.5,68.970001,22989500,56.922301
2010-04-21,69.0,69.43,68.57,68.919998,21119200,56.881033
2010-04-22,68.519997,68.730003,68.220001,68.559998,21654700,56.583917
2010-04-23,68.5,69.269997,68.18,69.239998,24340000,57.145135
2010-04-26,69.029999,69.529999,68.93,69.290001,18237100,57.186403
2010-04-27,69.010002,70.0,68.199997,68.269997,36374700,56.344574
2010-04-28,68.870003,69.540001,68.610001,69.190002,33243500,57.103873
2010-04-29,68.449997,69.660004,68.239998,68.660004,47200900,56.666454
2010-04-30,68.900002,69.309998,67.730003,67.769997,43762100,55.931914
2010-05-03,68.110001,68.220001,67.18,67.839996,30734900,55.989686
2010-05-04,67.150002,67.260002,66.0,66.470001,31646100,54.859002
2010-05-05,65.940002,66.940002,65.830002,66.169998,30260300,54.611404
2010-05-06,65.790001,66.230003,58.459999,63.889999,58336300,52.729676
2010-05-07,64.5,64.919998,63.23,63.700001,69004800,52.572866
2010-05-10,65.419998,65.75,64.519997,65.230003,38337600,53.835607
2010-05-11,64.620003,65.0,64.230003,64.459999,29790600,53.561397
2010-05-12,64.639999,65.339996,64.5,64.910004,25390700,53.935317
2010-05-13,64.870003,65.269997,64.32,64.739998,26791600,53.794055
2010-05-14,64.5,64.730003,62.91,63.599998,38815400,52.846801
2010-05-17,63.740002,63.880001,62.259998,63.27,31923700,52.572598
2010-05-18,64.050003,64.269997,62.419998,62.790001,34457000,52.173755
2010-05-19,62.459999,62.939999,62.0,62.450001,36722500,51.89124
2010-05-20,61.470001,61.68,60.209999,60.330002,57194500,50.129681
2010-05-21,59.16,60.950001,59.16,60.880001,52802900,50.586689
2010-05-24,60.740002,61.0,60.130001,60.189999,27847800,50.013349
2010-05-25,58.990002,59.779999,58.459999,59.709999,50533800,49.614505
2010-05-26,60.080002,60.459999,59.119999,59.310001,34028900,49.282137
2010-05-27,60.5,61.549999,60.099998,61.459999,31911500,51.068623
2010-05-28,61.209999,61.669998,60.279999,60.459999,32078700,50.237699
2010-06-01,60.380001,60.860001,59.139999,59.25,32972000,49.232281
2010-06-02,59.509998,60.799999,59.23,60.77,28668400,50.495287
2010-06-03,61.23,62.009998,60.599998,61.560001,32383700,51.151718
2010-06-04,60.740002,61.049999,59.290001,59.529999,45019200,49.464939
2010-06-07,59.98,60.41,59.200001,59.299999,28389500,49.273826
2010-06-08,59.619999,61.439999,59.380001,61.240002,48460700,50.885822
2010-06-09,61.580002,61.599998,59.82,60.029999,31693200,49.880401
2010-06-10,61.5,62.0,61.16,61.889999,33020100,51.425921
2010-06-11,61.68,61.919998,61.18,61.860001,21227100,51.400994
2010-06-14,62.060001,62.459999,61.32,61.369999,24667800,50.99384
2010-06-15,61.889999,62.57,61.490002,62.509998,24532600,51.941094
2010-06-16,61.970001,62.619999,61.900002,62.509998,20652700,51.941094
2010-06-17,62.419998,62.700001,61.950001,62.599998,23310200,52.015877
2010-06-18,62.779999,63.369999,62.400002,63.099998,32747000,52.431339
2010-06-21,64.099998,64.5,62.849998,63.130001,24877600,52.456269
2010-06-22,63.130001,63.200001,61.790001,61.939999,26147000,51.467467
2010-06-23,61.709999,62.259998,60.900002,61.099998,38058900,50.76949
2010-06-24,60.82,61.200001,59.869999,60.07,34188500,49.913639
2010-06-25,60.150002,60.240002,59.099998,59.099998,118023500,49.107641
2010-06-28,59.310001,59.389999,58.470001,58.470001,43013000,48.584161
2010-06-29,58.0,58.09,57.0,57.290001,52525000,47.603669
2010-06-30,57.330002,57.73,56.919998,57.07,43944900,47.420865
2010-07-01,56.98,57.27,56.169998,56.610001,47746400,47.03864
2010-07-02,56.849998,56.990002,55.939999,56.57,32767900,47.005403
2010-07-06,57.169998,57.59,56.77,57.459999,36912100,47.744925
2010-07-07,57.369999,58.450001,57.259998,58.43,41797200,48.550923
2010-07-08,59.130001,59.200001,58.130001,58.810001,40430300,48.866675
2010-07-09,58.759998,59.009998,58.299999,58.779999,25976500,48.841745
2010-07-12,58.290001,58.939999,58.200001,58.939999,23515000,48.974693
2010-07-13,59.599998,59.720001,59.040001,59.419998,30514200,49.373536
2010-07-14,59.220001,59.34,58.619999,59.259998,26061100,49.240589
2010-07-15,59.360001,59.490002,58.59,59.27,24737300,49.2489
2010-07-16,58.84,59.110001,57.810001,57.959999,35805700,48.160387
2010-07-19,58.330002,58.740002,58.099998,58.43,20960000,48.550923
2010-07-20,57.68,58.990002,57.669998,58.950001,23807300,48.983004
2010-07-21,59.130001,59.130001,57.599998,58.169998,26859700,48.334881
2010-07-22,58.709999,59.790001,58.66,59.380001,27051400,49.340302
2010-07-23,59.259998,59.810001,58.799999,59.720001,19281400,49.622816
2010-07-26,59.700001,60.439999,59.630001,60.389999,20236500,50.179534
2010-07-27,60.619999,60.900002,60.389999,60.810001,22400800,50.528524
2010-07-28,60.73,61.27,60.73,60.91,23511100,50.611615
2010-07-29,61.419998,61.880001,60.290001,60.34,33763000,50.137989
2010-07-30,60.150002,60.509998,59.599998,59.68,29354600,49.589579
2010-08-02,60.639999,62.040001,60.610001,61.939999,28144000,51.467467
