Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,70.209999,71.860001,69.860001,71.629997,6104100,60.637566
2010-01-05,71.639999,71.639999,70.279999,70.559998,5004900,59.73177
2010-01-06,70.559998,70.830002,70.029999,70.190002,4726900,59.418555
2010-01-07,70.010002,70.620003,69.57,70.489998,4264400,59.672513
2010-01-08,70.260002,70.699997,70.25,70.629997,4654800,59.791028
2010-01-11,70.730003,72.260002,70.730003,72.160004,5530000,61.086237
2010-01-12,71.800003,71.949997,71.059998,71.739998,4672000,60.730686
2010-01-13,71.82,72.660004,71.790001,72.559998,4877100,61.424848
2010-01-14,72.239998,72.849998,72.120003,72.809998,3551300,61.636482
2010-01-15,72.830002,72.93,71.68,71.989998,5343300,60.942321
2010-01-19,71.989998,72.940002,71.639999,72.290001,3680700,61.196285
2010-01-20,72.010002,72.239998,70.629997,71.43,3673200,60.468261
2010-01-21,71.449997,71.849998,69.75,70.129997,5111300,59.367758
2010-01-22,69.870003,70.290001,69.0,69.080002,5814000,58.478897
2010-01-25,69.510002,69.510002,68.559998,68.589996,4999400,58.064088
2010-01-26,68.0,68.860001,67.800003,68.470001,4996400,57.962507
2010-01-27,67.260002,67.849998,66.5,67.610001,7690700,57.234484
2010-01-28,67.690002,67.830002,66.550003,67.370003,5578700,57.031316
2010-01-29,67.389999,68.489998,66.639999,67.480003,7232100,57.124436
2010-02-01,67.760002,67.970001,67.199997,67.550003,4916700,57.183693
2010-02-02,67.889999,68.43,67.690002,68.029999,6129300,57.590028
2010-02-03,67.82,68.43,67.699997,68.239998,4151000,57.767801
2010-02-04,67.870003,67.949997,66.339996,66.379997,5983200,56.193238
2010-02-05,66.379997,67.0,65.050003,66.5,7825300,56.294825
2010-02-08,66.279999,66.330002,65.309998,65.400002,5260400,55.363634
2010-02-09,66.199997,67.110001,65.709999,66.519997,5277500,56.311753
2010-02-10,66.519997,66.93,66.110001,66.639999,4933100,56.41334
2010-02-11,66.360001,66.849998,65.860001,66.709999,5504100,56.472597
2010-02-12,65.900002,66.260002,65.010002,65.690002,7957400,55.609131
2010-02-16,66.059998,66.43,65.559998,66.330002,6291000,56.150915
2010-02-17,66.300003,67.529999,65.82,67.349998,5988500,57.382046
2010-02-18,67.529999,68.290001,67.419998,68.110001,4124800,58.029566
2010-02-19,68.239998,68.900002,68.110001,68.519997,5296100,58.378882
2010-02-22,68.839996,68.919998,68.129997,68.400002,3311300,58.276646
2010-02-23,68.379997,68.75,67.720001,67.790001,4152300,57.756927
2010-02-24,68.190002,68.699997,67.790001,68.620003,4842400,58.464087
2010-02-25,67.57,68.699997,67.050003,68.669998,5920600,58.506683
2010-02-26,68.669998,68.980003,68.139999,68.650002,3973200,58.489646
2010-03-01,68.839996,69.800003,68.839996,69.639999,3703200,59.333122
2010-03-02,69.889999,70.0,69.639999,69.75,5956300,59.426842
2010-03-03,69.839996,70.379997,69.43,69.599998,4835600,59.299041
2010-03-04,69.660004,70.790001,69.639999,70.370003,5651700,59.955083
2010-03-05,70.57,71.309998,70.57,71.25,4057400,60.704838
2010-03-08,71.190002,71.419998,70.760002,70.760002,4018500,60.287361
2010-03-09,71.510002,72.25,71.160004,71.779999,5560500,61.156396
2010-03-10,71.970001,72.220001,71.379997,71.790001,4901800,61.164918
2010-03-11,71.949997,72.040001,71.260002,72.040001,4983700,61.377917
2010-03-12,71.790001,72.449997,71.139999,71.529999,5805600,60.943397
2010-03-15,71.510002,72.110001,71.32,71.839996,5463100,61.207514
2010-03-16,71.970001,72.5,71.589996,72.400002,5154500,61.684637
2010-03-17,72.629997,72.800003,72.059998,72.190002,4486300,61.505718
2010-03-18,72.080002,72.550003,72.059998,72.5,3174600,61.769836
2010-03-19,73.239998,73.739998,72.720001,73.239998,9199100,62.400312
2010-03-22,72.660004,73.029999,72.57,72.610001,5176900,61.863556
2010-03-23,72.720001,73.169998,72.580002,73.089996,4964100,62.272511
2010-03-24,72.980003,73.540001,72.760002,73.040001,4180900,62.229915
2010-03-25,73.410004,73.82,73.18,73.269997,3936300,62.425871
2010-03-26,73.459999,74.07,73.459999,73.620003,4793700,62.724075
2010-03-29,73.790001,74.32,73.629997,74.0,3034000,63.047832
2010-03-30,74.220001,74.849998,73.949997,74.129997,2876100,63.15859
2010-03-31,73.93,74.330002,73.419998,73.610001,3761600,62.715554
2010-04-01,73.870003,74.480003,73.540001,74.129997,3456300,63.15859
2010-04-05,74.32,74.949997,74.220001,74.849998,4505000,63.772029
2010-04-06,74.540001,74.970001,74.419998,74.669998,3689600,63.618669
2010-04-07,74.550003,74.639999,73.529999,73.989998,5225400,63.03931
2010-04-08,73.690002,73.910004,73.279999,73.699997,3353300,62.79223
2010-04-09,73.709999,74.0,73.410004,73.989998,2818300,63.03931
2010-04-12,74.360001,74.360001,73.589996,73.760002,3794600,62.843355
2010-04-13,73.580002,73.709999,72.93,73.459999,4417300,62.587753
2010-04-14,73.330002,74.050003,73.129997,74.0,3383900,63.047832
2010-04-15,73.889999,74.720001,73.760002,74.610001,3360800,63.567551
2010-04-16,74.660004,74.779999,73.209999,73.690002,7569600,62.783715
2010-04-19,73.459999,73.809998,73.0,73.760002,5122300,62.843355
2010-04-20,74.129997,74.68,73.269997,74.199997,4977900,63.218229
2010-04-21,73.629997,77.089996,73.629997,76.93,10706300,65.544186
2010-04-22,76.629997,76.75,75.940002,76.43,8610400,65.118187
2010-04-23,76.519997,76.779999,75.779999,76.470001,4710900,65.152268
2010-04-26,76.57,77.080002,76.260002,76.400002,3457300,65.092628
2010-04-27,76.209999,76.349998,74.07,74.32,6237100,63.320471
2010-04-28,74.639999,74.900002,73.559998,74.660004,6122600,63.610154
2010-04-29,75.309998,76.349998,75.160004,76.019997,4974300,64.768865
2010-04-30,76.019997,76.489998,74.900002,74.949997,5068500,63.857227
2010-05-03,75.260002,76.379997,75.139999,76.279999,4115600,64.990386
2010-05-04,75.610001,75.610001,73.449997,74.160004,5426600,63.184155
2010-05-05,73.589996,74.309998,72.830002,73.589996,6179300,62.69851
2010-05-06,73.050003,74.0,65.169998,71.239998,9270000,60.696317
2010-05-07,70.849998,71.459999,68.860001,69.459999,10290000,59.179762
2010-05-10,72.540001,73.349998,72.0,73.040001,7692200,62.229915
2010-05-11,72.339996,74.25,72.330002,73.129997,5971400,62.306592
2010-05-12,73.050003,73.43,72.580002,73.150002,5067200,62.687951
2010-05-13,73.110001,74.110001,72.730003,72.860001,5278700,62.439426
2010-05-14,72.349998,72.610001,70.690002,71.580002,6648700,61.342495
2010-05-17,71.709999,72.0,69.919998,71.029999,5980400,60.871155
2010-05-18,71.559998,71.940002,70.480003,70.68,6039600,60.571214
2010-05-19,70.160004,70.75,68.660004,69.349998,8501300,59.431431
2010-05-20,67.800003,68.559998,66.360001,66.43,10894800,56.929057
2010-05-21,64.580002,67.110001,64.580002,66.440002,10626800,56.937628
2010-05-24,66.660004,66.790001,65.809998,66.129997,5345100,56.671961
2010-05-25,64.339996,66.309998,63.790001,66.160004,7858400,56.697675
2010-05-26,66.82,67.75,66.0,66.150002,6560500,56.689104
2010-05-27,67.339996,68.110001,66.989998,68.110001,5075400,58.36878
2010-05-28,68.25,68.410004,67.040001,67.379997,4809400,57.743183
2010-06-01,66.589996,67.470001,65.93,66.050003,5126900,56.603407
2010-06-02,66.470001,67.529999,65.959999,67.459999,4300400,57.811743
2010-06-03,67.760002,68.25,67.279999,67.849998,3912200,58.145964
2010-06-04,66.620003,66.809998,64.879997,65.139999,6460300,55.823554
2010-06-07,65.260002,65.449997,63.150002,63.220001,8310700,54.178158
2010-06-08,63.25,64.269997,62.880001,64.209999,7425500,55.026564
2010-06-09,64.449997,64.809998,63.27,63.419998,7998400,54.349551
2010-06-10,64.529999,65.620003,63.860001,65.489998,5873400,56.123495
2010-06-11,64.93,66.290001,64.550003,66.230003,4583600,56.757664
2010-06-14,66.489998,67.830002,66.440002,66.900002,6658900,57.331837
2010-06-15,67.019997,68.660004,66.959999,68.599998,4945000,58.788698
2010-06-16,68.18,68.709999,68.050003,68.589996,4057700,58.780126
2010-06-17,68.650002,68.699997,67.709999,68.559998,4349000,58.754418
2010-06-18,68.650002,69.25,68.510002,69.18,6187800,59.285746
2010-06-21,70.339996,70.620003,69.040001,69.370003,4519400,59.448574
2010-06-22,69.300003,69.669998,67.849998,67.989998,4198100,58.26594
2010-06-23,68.18,68.690002,67.459999,67.989998,5070900,58.26594
2010-06-24,67.889999,68.510002,67.160004,67.349998,5505800,57.717475
2010-06-25,67.43,67.889999,66.809998,67.860001,7919500,58.154536
2010-06-28,67.910004,67.959999,66.82,67.110001,3315800,57.511802
2010-06-29,66.089996,66.769997,64.32,64.970001,7028400,55.677869
2010-06-30,64.989998,65.849998,64.43,64.910004,6561300,55.626453
2010-07-01,64.849998,64.910004,63.619999,64.389999,5676900,55.180821
2010-07-02,64.449997,64.93,63.84,64.290001,3988800,55.095124
2010-07-06,64.809998,65.220001,63.91,64.589996,5780000,55.352214
2010-07-07,64.599998,66.589996,64.559998,66.550003,5255700,57.031896
2010-07-08,67.07,67.239998,66.290001,67.230003,3637900,57.614642
2010-07-09,67.279999,67.699997,66.879997,67.510002,2919600,57.854595
2010-07-12,67.18,67.589996,66.269997,66.68,3787200,57.143301
2010-07-13,67.18,68.32,67.18,67.760002,5035900,58.068839
2010-07-14,67.629997,68.339996,67.379997,68.010002,3441300,58.283084
2010-07-15,67.959999,68.360001,67.169998,68.150002,4340200,58.40306
2010-07-16,67.949997,68.019997,65.879997,66.029999,4498700,56.586264
2010-07-19,66.419998,66.900002,66.120003,66.389999,4731700,56.894777
