Date,Open,High,Low,Close,Volume,Adj Close
2014-05-20,28.200001,30.4,28.0,30.4,6889800,30.4
2014-05-21,30.75,34.799999,30.75,33.150002,2821100,33.150002
2014-05-22,32.73,33.279999,31.1,31.25,1801200,31.25
2014-05-23,32.200001,32.560001,31.58,32.0,1788700,32.0
2014-05-26,32.0,32.0,32.0,32.0,0,32.0
2014-05-27,32.0,32.310001,31.77,31.98,776900,31.98
2014-05-28,31.98,31.98,30.75,31.75,514100,31.75
2014-05-29,31.75,31.75,31.09,31.4,1089100,31.4
2014-05-30,31.469999,32.759998,31.389999,32.349998,20871300,32.349998
2014-06-02,32.310001,35.689999,31.370001,35.5,10026300,35.5
2014-06-03,35.110001,35.619999,34.276001,34.939999,6340900,34.939999
2014-06-04,34.439999,34.740002,33.759998,34.290001,6382400,34.290001
2014-06-05,33.59,34.549999,33.59,34.279999,7012700,34.279999
2014-06-06,33.779999,34.139999,32.75,32.799999,7734200,32.799999
2014-06-09,32.450001,32.970001,32.0,32.240002,7306000,32.240002
2014-06-10,32.009998,32.98,31.5,32.720001,6382000,32.720001
2014-06-11,32.259998,34.369999,32.209999,33.560001,4731900,33.560001
2014-06-12,33.5,33.900002,32.650002,33.209999,3188400,33.209999
2014-06-13,32.970001,34.099998,32.889999,33.549999,1787200,33.549999
2014-06-16,33.389999,33.830002,32.639999,33.0,2558400,33.0
2014-06-17,32.830002,33.709999,32.560001,33.66,3161300,33.66
2014-06-18,33.810001,34.380001,33.5,34.029999,1960000,34.029999
2014-06-19,34.0,34.099998,33.779999,34.009998,912800,34.009998
2014-06-20,33.889999,35.32,33.5,34.110001,2988500,34.110001
2014-06-23,34.07,35.98,33.900002,35.68,3050700,35.68
2014-06-24,35.209999,37.09,35.119999,35.5,3092800,35.5
2014-06-25,35.48,35.77,35.150002,35.700001,2386200,35.700001
2014-06-26,35.580002,37.310001,35.549999,37.189999,2701000,37.189999
2014-06-27,36.849998,37.650002,36.700001,36.830002,4075100,36.830002
2014-06-30,36.830002,37.43,35.959999,36.209999,2420500,36.209999
2014-07-01,36.080002,37.25,35.91,35.98,2302900,35.98
2014-07-02,35.830002,36.490002,35.77,35.779999,2761500,35.779999
2014-07-03,35.68,36.25,35.5,35.650002,1187100,35.650002
2014-07-07,35.509998,35.650002,35.02,35.119999,1542600,35.119999
2014-07-08,35.080002,35.154999,34.5,34.810001,1477700,34.810001
2014-07-09,34.75,35.040001,34.540001,35.0,1285600,35.0
2014-07-10,34.380001,35.049999,34.250999,34.57,1195400,34.57
2014-07-11,34.560001,35.02,34.549999,34.709999,837600,34.709999
2014-07-14,34.919998,35.299999,34.779999,34.84,1108600,34.84
2014-07-15,34.689999,34.860001,33.75,34.59,1328900,34.59
2014-07-16,34.57,34.599998,33.900002,34.110001,1978000,34.110001
2014-07-17,33.880001,34.27,33.66,33.91,1443300,33.91
2014-07-18,33.82,34.23,33.700001,33.950001,1007700,33.950001
2014-07-21,33.900002,34.0,33.43,33.540001,1207400,33.540001
2014-07-22,33.599998,34.200001,33.25,33.470001,1424100,33.470001
2014-07-23,33.619999,33.639999,33.25,33.360001,1094800,33.360001
2014-07-24,33.259998,33.790001,33.259998,33.439999,921100,33.439999
2014-07-25,33.330002,33.400002,33.040001,33.259998,588500,33.259998
2014-07-28,33.369999,33.400002,32.771,33.32,584700,33.32
2014-07-29,33.139999,33.580002,32.77,33.150002,1232600,33.150002
2014-07-30,33.119999,33.179001,32.880001,33.080002,1089800,33.080002
2014-07-31,32.759998,32.880001,32.119999,32.189999,879800,32.189999
2014-08-01,32.060001,32.889999,31.76,32.310001,1933500,32.310001
2014-08-04,32.259998,32.82,31.879999,32.75,1262600,32.75
2014-08-05,32.529999,33.07,32.25,32.75,1338200,32.75
2014-08-06,30.0,33.169998,29.85,31.459999,4748600,31.459999
2014-08-07,31.52,31.629999,29.870001,30.110001,2948900,30.110001
2014-08-08,29.969999,31.08,29.940001,31.01,2364400,31.01
2014-08-11,31.1,31.51,30.51,30.780001,1941200,30.780001
2014-08-12,30.969999,31.76,30.82,31.16,1632000,31.16
2014-08-13,30.690001,32.400002,30.52,32.240002,1898000,32.240002
2014-08-14,31.74,32.220001,31.65,31.809999,1338200,31.809999
2014-08-15,32.209999,32.34,31.74,32.040001,1055800,32.040001
2014-08-18,32.240002,32.299999,31.93,32.009998,1098700,32.009998
2014-08-19,32.119999,32.880001,32.049999,32.619999,784500,32.619999
2014-08-20,32.5,32.669998,32.099998,32.48,853500,32.48
2014-08-21,32.709999,33.349998,32.52,32.959999,1444500,32.959999
2014-08-22,33.110001,33.5,32.860001,33.18,1071800,33.18
2014-08-25,33.41,33.5,32.880001,33.02,713300,33.02
2014-08-26,33.139999,33.27,32.880001,32.93,658400,32.93
2014-08-27,32.959999,33.009998,32.77,32.950001,866400,32.950001
2014-08-28,32.950001,32.970001,32.73,32.82,446600,32.82
2014-08-29,32.799999,33.209999,32.799999,33.029999,768200,33.029999
